,2010,2010,2010,2015,2015,2015,2019,2019,2019,2023,2023,2023
,Gt,C,K,Gt,C,K,Gt,C,K,Gt,C,K
AR,3,3,3,4,4,1,4,2,2,3,2,2
AU,1,1,1,1,2,1,2,1,1,1,1,1
BR,3,3,3,3,4,2,4,2,2,4,3,3
CA,1,1,1,1,2,1,2,1,1,1,1,1
CH,3,3,3,2,3,3,3,1,1,4,3,3
FR,1,1,1,1,2,1,2,1,1,1,1,1
DE,1,1,1,1,2,1,2,1,1,1,1,1
IN,4,4,3,2,3,3,3,4,4,3,4,4
ID,1,1,1,4,2,1,2,1,1,2,2,2
IT,2,2,2,3,1,2,1,2,2,2,2,2
JP,2,2,2,1,2,1,1,2,2,2,3,3
KR,2,2,2,3,1,2,1,2,2,2,2,2
MX,3,3,3,3,4,2,4,2,2,3,2,2
RU,3,3,3,3,4,2,4,2,2,3,2,2
SA,4,4,3,4,2,1,4,2,1,4,3,3
ZA,4,4,4,3,4,4,4,3,3,3,4,4
TR,1,1,1,2,3,3,3,1,1,3,4,4
GB,1,1,1,1,2,1,2,1,1,1,1,1
US,1,1,1,4,2,1,2,1,1,1,1,1
